grade,number,level_0,level_1,level_2,level_3,level_4
3,1.C.1.a,"[""1"",""Knowledge of Algebra, Patterns, and Functions""]","[""C"",""Numeric and GraphicÊRepresentationsÊof Relationships""]","[""1"",""Locate points on a number line""]","[""a"",""RepresentÊwhole numbersÊon a number line""]","[""UseÊwhole numbersÊ(0 - 500)""]"
3,1.C.1.b,"[""1"",""Knowledge of Algebra, Patterns, and Functions""]","[""C"",""Numeric and GraphicÊRepresentationsÊof Relationships""]","[""1"",""Locate points on a number line""]","[""b"",""Represent proper fractions on a number line""]","[""Use fractions that have denominators of 2, 3, or 4""]"
3,2.A.1.a,"[""2"",""Knowledge of Geometry""]","[""A"",""Plane Geometric Figures""]","[""1"",""Analyze the properties of plane geometric figures""]","[""a"",""Identify or describe points, lines, line segments, rays, and angles""]","[""""]"
3,2.A.1.b,"[""2"",""Knowledge of Geometry""]","[""A"",""Plane Geometric Figures""]","[""1"",""Analyze the properties of plane geometric figures""]","[""b"",""Identify or describe polygons""]","[""Use triangles, quadrilaterals, pentagons, hexagons, or octagons and the number of sides or vertices""]"
3,2.A.1.c,"[""2"",""Knowledge of Geometry""]","[""A"",""Plane Geometric Figures""]","[""1"",""Analyze the properties of plane geometric figures""]","[""c"",""Identify or describe quadrilaterals""]","[""Use squares, rectangles, rhombi, parallelograms, and trapezoids and the length of sides""]"
3,2.A.1.d,"[""2"",""Knowledge of Geometry""]","[""A"",""Plane Geometric Figures""]","[""1"",""Analyze the properties of plane geometric figures""]","[""d"",""Identify triangles, rectangles, or squares as part of a composite figure""]","[""Use a combination of 2 of the stated polygons""]"
3,2.A.2.a,"[""2"",""Knowledge of Geometry""]","[""A"",""Plane Geometric Figures""]","[""2"",""Analyze geometric relationships""]","[""a"",""Identify right angles""]","[""""]"
3,2.B.1.a,"[""2"",""Knowledge of Geometry""]","[""A"",""Solid Geometric Figures""]","[""1"",""Analyze the properties of solid geometric figures""]","[""a"",""Identify and describe cubes, rectangular prisms, and triangular prisms""]","[""Use cubes and the number of edges, faces, vertices, or shape of eachÊface""]"
3,2.C.1.a,"[""2"",""Knowledge of Geometry""]","[""B"",""Representation of Geometric Figures""]","[""1"",""Represent plane geometric figures""]","[""a"",""Sketch triangles, quadrilaterals, pentagons, hexagons, octagons, and circles""]","[""""]"
3,2.D.1.a,"[""2"",""Knowledge of Geometry""]","[""C"",""Congruence""]","[""1"",""Analyze congruent figures""]","[""a"",""Identify and describe geometric figures as congruent""]","[""Use the same shape and same size""]"
3,2.E.1.a,"[""2"",""Knowledge of Geometry""]","[""E"",""Transformations""]","[""1"",""Analyze aÊtransformation""]","[""a"",""Identify and describe the results of aÊslide,Êflip, and turn""]","[""Use horizontalÊslide,ÊflipÊover a vertical line, or turn of 90¡ clockwise around a given point of a geometric figure or picture""]"
3,2.E.2.a,"[""2"",""Knowledge of Geometry""]","[""E"",""Transformations""]","[""2"",""Analyze geometric figures or pictures""]","[""a"",""Identify and describeÊsymmetry""]","[""Use no more than 4 lines ofÊsymmetry""]"
3,3.A.1.a,"[""3"",""Knowledge of Measurement""]","[""A"",""Measurement Units""]","[""1"",""Read customary and metric measurement units""]","[""a"",""Estimate and determine length""]","[""Use the nearest centimeter or _ inch""]"
3,3.A.1.b,"[""3"",""Knowledge of Measurement""]","[""A"",""Measurement Units""]","[""1"",""Read customary and metric measurement units""]","[""b"",""Tell time in days, hours, minutes, and seconds""]","[""Use the nearest minute using an analog clock""]"
3,3.A.1.c,"[""3"",""Knowledge of Measurement""]","[""A"",""Measurement Units""]","[""1"",""Read customary and metric measurement units""]","[""c"",""Estimate and read temperature""]","[""Use the nearest degree (¡F or ¡C)""]"
3,3.A.1.d,"[""3"",""Knowledge of Measurement""]","[""A"",""Measurement Units""]","[""1"",""Read customary and metric measurement units""]","[""d"",""Estimate and determine weight of objects""]","[""Use the nearest pound or ounce""]"
3,3.B.1.a,"[""3"",""Knowledge of Measurement""]","[""B"",""Measurement Tools""]","[""1"",""Measure in customary and metric units""]","[""a"",""Measure length of objects and pictures of objects using a ruler, a tape measure, a yardstick, or a meter stick""]","[""Use a ruler and the nearest centimeter or _ inch""]"
3,3.B.1.b,"[""3"",""Knowledge of Measurement""]","[""B"",""Measurement Tools""]","[""1"",""Measure in customary and metric units""]","[""b"",""MeasureÊcapacityÊof containers to the nearest cup, pint, quart, gallon, milliliter, and liter using graduated containers""]","[""""]"
3,3.B.1.c,"[""3"",""Knowledge of Measurement""]","[""B"",""Measurement Tools""]","[""1"",""Measure in customary and metric units""]","[""c"",""Measure weight of objects to the nearest ounce and pound and the mass of an object to the nearest gram and kilogram""]","[""""]"
3,3.C.1.a,"[""3"",""Knowledge of Measurement""]","[""C"",""Applications in Measurement""]","[""1"",""Apply measurement concepts""]","[""a"",""Estimate and determine theÊperimeterÊof geometric figures and pictures on a grid""]","[""Use counting andÊwhole numbersÊ(0 Ð 50)""]"
3,3.C.1.b,"[""3"",""Knowledge of Measurement""]","[""C"",""Applications in Measurement""]","[""1"",""Apply measurement concepts""]","[""b"",""Estimate and determine theÊareaÊof geometric figures and pictures on a grid""]","[""Use counting andÊwhole numbersÊ(0 Ð 50)""]"
3,3.C.2.a,"[""3"",""Knowledge of Measurement""]","[""C"",""Applications in Measurement""]","[""2"",""CalculateÊequivalentÊmeasurements""]","[""a"",""DetermineÊequivalentÊunits of length""]","[""Use 12 inches = 1 foot and 3 feet = 1 yard andÊwhole numbersÊ(0 Ð 30)""]"
3,4.A.1.a,"[""4"",""Knowledge of Statistics""]","[""A"",""Data Displays""]","[""1"",""Collect, organize, and display data""]","[""a"",""Collect data by conducting surveys""]","[""""]"
3,4.A.1.b,"[""4"",""Knowledge of Statistics""]","[""A"",""Data Displays""]","[""1"",""Collect, organize, and display data""]","[""b"",""Organize and display data to make tables using a variety of categories and sets of data""]","[""Use no more than 4 categories from one set of data andwhole numbersÊ(0 Ð 1000)""]"
3,4.A.1.c,"[""4"",""Knowledge of Statistics""]","[""A"",""Data Displays""]","[""1"",""Collect, organize, and display data""]","[""c"",""Organize and display data to make pictographs using a variety of scales""]","[""Use scales of 2:1, 4:1, or 10:1 andÊwhole numbersÊ(0 Ð 100)""]"
3,4.A.1.d,"[""4"",""Knowledge of Statistics""]","[""A"",""Data Displays""]","[""1"",""Collect, organize, and display data""]","[""d"",""Organize and display data to make single bar graphs using a variety of categories and intervals""]","[""Use no more than 4 categories of data with intervals of 1, 2, 5, or 10 andÊwhole numbersÊ(0 Ð100)""]"
3,4.A.1.e,"[""4"",""Knowledge of Statistics""]","[""A"",""Data Displays""]","[""1"",""Collect, organize, and display data""]","[""e"",""Organize and display data to make line plots using a variety of intervals""]","[""""]"
3,4.B.1.a,"[""4"",""Knowledge of Statistics""]","[""B"",""Data Analysis""]","[""1"",""Analyze Data""]","[""a"",""Interpret data contained in tables using a variety of categories and intervals""]","[""Use no more than 4 categories from one set of data andwhole numbersÊ(0 Ð 1000)""]"
3,4.B.1.b,"[""4"",""Knowledge of Statistics""]","[""B"",""Data Analysis""]","[""1"",""Analyze Data""]","[""b"",""Interpret data contained in pictographs using a variety of categories and intervals""]","[""Use scales of 2:1, 4:1, or 10:1 andÊwhole numbersÊ(0 Ð 100)""]"
3,4.B.1.c,"[""4"",""Knowledge of Statistics""]","[""B"",""Data Analysis""]","[""1"",""Analyze Data""]","[""c"",""Interpret data contained in single bar graphs using a variety of categories and intervals""]","[""Use no more than 4 categories of data, intervals of 1, 2, 5, or 10 andÊwhole numbersÊ(0 Ð 100)""]"
3,4.B.1.d,"[""4"",""Knowledge of Statistics""]","[""B"",""Data Analysis""]","[""1"",""Analyze Data""]","[""d"",""Interpret data contained in line plots using a variety of intervals""]","[""""]"
3,5.A.1.a,"[""5"",""Knowledge of Probability""]","[""A"",""Sample Space""]","[""1"",""Identify possible outcomes""]","[""a"",""Identify possible outcomes that make up theÊsample spaceÊfor a given real life situation""]","[""""]"
3,5.A.1.b,"[""5"",""Knowledge of Probability""]","[""A"",""Sample Space""]","[""1"",""Identify possible outcomes""]","[""b"",""Identify possible outcomes that make up theÊsample spaceÊfor a given experiment such as: flipping a coin, spinning a spinner, and rolling a number cube""]","[""""]"
3,5.B.1.a,"[""5"",""Knowledge of Probability""]","[""B"",""Theoretical Probability ""]","[""1"",""Identify theÊprobabilityÊof one simple event""]","[""a"",""Describe theÊprobability of an eventÊusing words""]","[""UseÊprobabilityÊterms of more (or most) likely, less (or least) likely, or equally likely""]"
3,6.A.1.a,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""A"",""Knowledge of Number and Place Value""]","[""1"",""Apply knowledge ofÊwhole numbersÊandÊplace value""]","[""a"",""Read, write, and representÊwhole numbersÊusing symbols, words, and models""]","[""UseÊwhole numbersÊ(0 - 10,000)""]"
3,6.A.1.b,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""A"",""Knowledge of Number and Place Value""]","[""1"",""Apply knowledge ofÊwhole numbersÊandÊplace value""]","[""b"",""ExpressÊwhole numbersÊusing expanded form""]","[""UseÊwhole numbersÊ(0 - 10,000)""]"
3,6.A.1.c,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""A"",""Knowledge of Number and Place Value""]","[""1"",""Apply knowledge ofÊwhole numbersÊandÊplace value""]","[""c"",""Identify theÊplace valueÊof a digit in a whole number""]","[""UseÊwhole numbersÊ(0 - 9,999)""]"
3,6.A.1.d,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""A"",""Knowledge of Number and Place Value""]","[""1"",""Apply knowledge ofÊwhole numbersÊandÊplace value""]","[""d"",""Compare, order, and describeÊwhole numbersÊwith or without using relational symbols (<, >, =)""]","[""Use no more than fourÊwhole numbersÊ(0 - 10,000)""]"
3,6.A.2.a,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""A"",""Knowledge of Number and Place Value""]","[""2"",""Apply knowledge of fractions""]","[""a"",""Read, write, and represent fractions as parts of a single region using symbols, words, and models""]","[""Use fractions with denominators of 2, 3, or 4""]"
3,6.A.2.b,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""A"",""Knowledge of Number and Place Value""]","[""2"",""Apply knowledge of fractions""]","[""b"",""Read, write, and represent fractions as parts of a set using symbols, words, and models""]","[""Use fractions with denominators of 2, 3, or 4, and use sets of 2, 3, 4 items, respectively""]"
3,6.A.3.a,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""A"",""Knowledge of Number and Place Value""]","[""3"",""Apply knowledge of money""]","[""a"",""Represent money amounts in different ways""]","[""Use money amounts ($0 - $100)""]"
3,6.A.3.b,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""A"",""Knowledge of Number and Place Value""]","[""3"",""Apply knowledge of money""]","[""b"",""Determine the value of a given set of mixed currency""]","[""Use coins and bills ($0 - $100)""]"
3,6.A.3.c,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""A"",""Knowledge of Number and Place Value""]","[""3"",""Apply knowledge of money""]","[""c"",""Compare the value of two sets of mixed currency""]","[""""]"
3,6.B.1.a,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""B"",""Number Theory""]","[""1"",""Apply number relationships to:""]","[""a"",""Identify and describeÊwhole numbersÊas even or odd""]","[""UseÊwhole numbersÊ(0 Ð 100)""]"
3,6.C.1.a,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""C"",""Number Computation""]","[""1"",""Analyze number relations and compute""]","[""a"",""Add numbers using a variety of strategies""]","[""Use no more than 3 addends, with no more than 3 digits in each addend andÊwhole numbersÊ(0 Ð 1000)""]"
3,6.C.1.b,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""C"",""Number Computation""]","[""1"",""Analyze number relations and compute""]","[""b"",""Subtract numbers using a variety of strategies""]","[""Use no more than 3 digits in the minuend or subtrahend andwhole numbersÊ(0 Ð 999)""]"
3,6.C.1.c,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""C"",""Number Computation""]","[""1"",""Analyze number relations and compute""]","[""c"",""Solve addition and subtraction word problems""]","[""""]"
3,6.C.1.d,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""C"",""Number Computation""]","[""1"",""Analyze number relations and compute""]","[""d"",""Add and subtract money amounts""]","[""""]"
3,6.C.1.e,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""C"",""Number Computation""]","[""1"",""Analyze number relations and compute""]","[""e"",""Identify and apply the concept ofÊinverse operationsÊto addition and subtraction""]","[""""]"
3,6.C.1.f,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""C"",""Number Computation""]","[""1"",""Analyze number relations and compute""]","[""f"",""Represent multiplication and division basic facts using number sentences, pictures, and drawings""]","[""Use basic facts of no more than 9 x 9 = 81""]"
3,6.C.1.g,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""C"",""Number Computation""]","[""1"",""Analyze number relations and compute""]","[""g"",""Identify and use properties of multiplication""]","[""Use the properties of commutative, identity, or zero andwhole numbersÊ(0 Ð 20)""]"
3,6.C.1.h,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""C"",""Number Computation""]","[""1"",""Analyze number relations and compute""]","[""h"",""Multiply a one-digitÊfactorÊby a two-digitÊfactorÊusing models, pictures, and drawings""]","[""""]"
3,6.C.1.i,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""C"",""Number Computation""]","[""1"",""Analyze number relations and compute""]","[""i"",""Divide a two-digit dividend by a one-digit divisor using models, pictures, and drawings""]","[""""]"
3,6.C.1.j,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""C"",""Number Computation""]","[""1"",""Analyze number relations and compute""]","[""j"",""Identify and apply the concept ofÊinverse operationsÊto multiplication and division""]","[""""]"
3,6.C.1.k,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""C"",""Number Computation""]","[""1"",""Analyze number relations and compute""]","[""k"",""Write a word problem based on multiplication or division number sentences""]","[""""]"
3,6.C.2.a,"[""6"",""Knowledge of Number Relationships and Computation/Arithmetic""]","[""C"",""Number Computation""]","[""2"",""Estimation""]","[""a"",""Determine the reasonableness of sums and differences""]","[""""]"
